Gene ID	Mirbase ID	Site Type	UTR start	UTR end	3P_score	Local_AU	Min_dist	Len_3UTR	SA	Len_ORF	ORF8m	Off6m	TA_3UTR	SPS	PCT
CDC2L6	hsa-miR-4735-3p	7mer-m8	448	454	3.0	0.81909039548	2.63742857143	3.41138961039	-1.63030597015	3.18408			3.3324676259	-9.50066666667	0.0530833333333
CDC2L6	hsa-miR-4735-3p	6mer	2817	2822	2.04166666667	0.354625	3.24175	3.647	-1.92771428571	3.1705862069			3.33986206897	-6.02485714286	0.0
CDC2L6	hsa-miR-601	7mer-1a	3843	3849	2.0	0.5562	2.81726666667	3.65830232558	-1.67587012987	3.18314285714			3.11963247863	-6.69884210526	0.0
CDC2L6	hsa-miR-603	8mer-1a	928	935	4.0	0.780133858268	2.79642372881	3.40808064516	-1.65704347826	3.18341463415			3.63804504505	-8.03114285714	0.0
CDC2L6	hsa-miR-603	6mer	3321	3326	1.0	0.4858	3.06075	3.647	-1.77	3.1705862069			3.63344827586	-6.474	0.0
CDC2L6	hsa-miR-603	6mer	3323	3328	1.0	0.616975	3.06075	3.647	-1.45457142857	3.1705862069			3.63344827586	-6.474	0.0
CDC2L6	hsa-miR-604	6mer	1837	1842	2.45833333333	0.640825	3.24175	3.647	-1.13914285714	3.1705862069			3.45996551724	-10.2168571429	0.0
CDC2L6	hsa-miR-604	6mer	2245	2250	2.04166666667	0.736225	3.33225	3.647	-3.18942857143	3.1705862069			3.45996551724	-10.2168571429	0.0
CDC2L6	hsa-miR-605-5p	7mer-m8	2530	2536	1.0	0.465305084746	3.296625	3.65415584416	-2.63620149254	3.18408			3.50944604317	-7.28644444444	0.0
CDC2L6	hsa-miR-605-5p	6mer	296	301	1.52083333333	0.4858	2.4725	3.404	-2.08542857143	3.1705862069			3.51334482759	-4.07857142857	0.0
CDC2L6	hsa-miR-605-5p	6mer	366	371	1.52083333333	0.831625	2.563	3.404	-1.29685714286	3.1705862069			3.51334482759	-4.07857142857	0.0
CDC2L6	hsa-miR-605-5p	6mer	864	869	3.5	0.569275	2.78925	3.404	-1.13914285714	3.1705862069			3.51334482759	-4.07857142857	0.0
CDC2L6	hsa-miR-606	7mer-1a	2119	2125	1.5	0.53172	3.3418	3.65830232558	-3.80431168831	3.18314285714			3.35428205128	-4.29252631579	0.0
CDC2L6	hsa-miR-607	7mer-1a	2230	2236	2.0	0.59292	3.3418	3.65830232558	-1.58127272727	3.18314285714			3.97578632479	-2.26052631579	0.0
CDC2L6	hsa-miR-607	6mer	3093	3098	2.04166666667	0.402325	3.15125	3.647	-1.77	3.1705862069			3.9804137931	-2.282	0.0
CDC2L6	hsa-miR-607	6mer	290	295	2.04166666667	0.46195	2.4725	3.404	-3.03171428571	3.1705862069			3.9804137931	-2.282	0.0
CDC2L6	hsa-miR-607	7mer-1a	3151	3157	2.0	0.65412	3.15446666667	3.65830232558	-2.10155844156	3.18314285714			3.97578632479	-2.26052631579	0.0
CDC2L6	hsa-miR-607	7mer-1a	3490	3496	3.0	0.64188	3.0046	3.65830232558	-1.72316883117	3.18314285714			3.97578632479	-2.26052631579	0.0
CDC2L6	hsa-miR-607	6mer	910	915	1.52083333333	0.497725	2.78925	3.404	-3.18942857143	3.1705862069			3.9804137931	-2.282	0.0
CDC2L6	hsa-miR-608	6mer	204	209	4.02083333333	0.545425	2.201	3.269	-1.13914285714	3.1705862069			3.75355172414	-10.0671428571	0.0
CDC2L6	hsa-miR-608	7mer-1a	4387	4393	2.0	0.27468	2.14286666667	3.65830232558	-3.61511688312	3.18314285714			3.76016239316	-10.0142105263	0.0
CDC2L6	hsa-miR-609	8mer-1a	3217	3224	2.5	0.423543307087	3.113	3.65708064516	-4.45239130435	3.18341463415			3.38737837838	-9.50042857143	0.0
CDC2L6	hsa-miR-613	6mer	3602	3607	-0.0416666666667	0.5335	2.97025	3.647	-3.978	3.1705862069			3.54003448276	-5.72542857143	0.0
CDC2L6	hsa-miR-613	7mer-1a	2588	2594	3.5	0.495	3.30433333333	3.65830232558	-0.398805194805	3.18314285714			3.5381965812	-5.68284210526	0.0
FNDC3A	hsa-let-7a-5p	7mer-1a	2002	2008	1.5	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-let-7a-5p	7mer-m8	465	471	2.0	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-let-7a-5p	6mer	686	691	2.97916666667	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
FNDC3A	hsa-let-7b-5p	7mer-1a	2002	2008	1.0	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-let-7b-5p	7mer-m8	465	471	0.5	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-let-7b-5p	6mer	686	691	2.97916666667	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
FNDC3A	hsa-let-7c-5p	7mer-1a	2002	2008	1.5	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-let-7c-5p	7mer-m8	465	471	1.5	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-let-7c-5p	6mer	686	691	2.97916666667	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
FNDC3A	hsa-let-7d-5p	7mer-1a	2002	2008	1.0	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-let-7d-5p	7mer-m8	465	471	2.5	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-let-7d-5p	6mer	686	691	2.97916666667	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
FNDC3A	hsa-let-7e-5p	7mer-1a	2002	2008	1.5	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-let-7e-5p	7mer-m8	465	471	2.0	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-let-7e-5p	6mer	686	691	2.97916666667	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
FNDC3A	hsa-let-7f-5p	7mer-1a	2002	2008	2.5	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-let-7f-5p	7mer-m8	465	471	2.0	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-let-7f-5p	6mer	686	691	2.97916666667	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
FNDC3A	hsa-let-7g-5p	7mer-1a	2002	2008	2.5	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-let-7g-5p	7mer-m8	465	471	1.5	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-let-7g-5p	6mer	686	691	3.5	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
FNDC3A	hsa-let-7i-5p	7mer-1a	2002	2008	1.0	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-let-7i-5p	7mer-m8	465	471	1.0	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-let-7i-5p	6mer	686	691	3.5	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
FNDC3A	hsa-miR-1-3p	8mer-1a	2017	2024	3.5	0.774157480315	2.33594915254	3.35185483871	-0.371826086957	3.55529268293			3.53981081081	-7.44342857143	0.0
FNDC3A	hsa-miR-101-3p.1	6mer	1122	1127	2.04166666667	0.664675	2.744	3.242	-3.50485714286	3.56617241379			3.54003448276	-4.97685714286	0.0
FNDC3A	hsa-miR-101-3p.1	7mer-1a	1655	1661	3.0	0.80712	2.7798	3.34697674419	-1.25018181818	3.5629047619			3.54453846154	-4.98768421053	0.0
FNDC3A	hsa-miR-101-3p.1	7mer-1a	2011	2017	3.0	0.72144	2.36766666667	3.34697674419	-1.10828571429	3.5629047619			3.54453846154	-4.98768421053	0.0
FNDC3A	hsa-miR-18a-5p	7mer-1a	2071	2077	2.5	0.80712	2.2178	3.34697674419	-0.777194805195	3.5629047619			3.33525641026	-6.05715789474	0.0
FNDC3A	hsa-miR-18b-5p	7mer-1a	2071	2077	2.5	0.80712	2.2178	3.34697674419	-0.777194805195	3.5629047619			3.33525641026	-6.05715789474	0.0
FNDC3A	hsa-miR-206	8mer-1a	2017	2024	2.5	0.774157480315	2.33594915254	3.35185483871	-0.371826086957	3.55529268293			3.53981081081	-7.44342857143	0.0
FNDC3A	hsa-miR-4458	7mer-1a	2002	2008	3.0	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-miR-4458	7mer-m8	465	471	1.5	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-miR-4458	6mer	686	691	2.04166666667	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
FNDC3A	hsa-miR-4500	7mer-1a	2002	2008	1.5	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-miR-4500	7mer-m8	465	471	1.0	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-miR-4500	6mer	686	691	2.45833333333	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
FNDC3A	hsa-miR-4735-3p	7mer-1a	2071	2077	2.0	0.80712	2.2178	3.34697674419	-0.777194805195	3.5629047619			3.33525641026	-6.05715789474	0.0
FNDC3A	hsa-miR-607	6mer	934	939	3.5	0.55735	2.8345	3.242	-1.77	3.56617241379			3.9804137931	-2.282	0.0
FNDC3A	hsa-miR-607	7mer-m8	1384	1390	2.0	0.867593220339	2.75207142857	3.28609090909	-1.1608880597	3.55692			3.97548920863	-3.35933333333	0.0
FNDC3A	hsa-miR-607	7mer-1a	1466	1472	1.5	0.648	2.6674	3.29037209302	-2.10155844156	3.5629047619			3.97578632479	-2.26052631579	0.0
FNDC3A	hsa-miR-607	6mer	1493	1498	1.52083333333	0.569275	2.6535	3.296	-2.08542857143	3.56617241379			3.9804137931	-2.282	0.0
FNDC3A	hsa-miR-607	6mer	802	807	1.52083333333	0.55735	2.8345	3.242	-1.61228571429	3.56617241379			3.9804137931	-2.282	0.0
FNDC3A	hsa-miR-613	8mer-1a	2017	2024	1.0	0.774157480315	2.33594915254	3.35185483871	-0.371826086957	3.55529268293			3.53981081081	-7.44342857143	0.0
FNDC3A	hsa-miR-98-5p	7mer-1a	2002	2008	1.5	0.82548	2.36766666667	3.34697674419	-0.96638961039	3.5629047619			3.39233333333	-6.69884210526	0.0
FNDC3A	hsa-miR-98-5p	7mer-m8	465	471	1.5	0.693553672316	2.66608928571	3.2391038961	-0.523820895522	3.55692			3.39146043165	-9.25	0.02275
FNDC3A	hsa-miR-98-5p	6mer	686	691	2.97916666667	0.70045	2.8345	3.242	-2.55857142857	3.56617241379			3.39324137931	-6.77342857143	0.0
LIN28B	hsa-let-7a-5p	7mer-m8	2471	2477	1.5	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7a-5p	8mer-1a	2653	2660	3.0	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7a-5p	8mer-1a	44	51	3.0	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7a-5p	7mer-m8	4092	4098	1.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7a-5p	7mer-1a	4277	4283	1.5	0.75204	2.40513333333	3.65830232558	-1.62857142857	2.87933333333			3.39233333333	-6.69884210526	0.0
LIN28B	hsa-let-7b-5p	7mer-m8	2471	2477	1.0	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7b-5p	8mer-1a	2653	2660	3.0	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7b-5p	8mer-1a	44	51	3.0	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7b-5p	7mer-m8	4092	4098	1.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7b-5p	7mer-1a	4277	4283	1.0	0.75204	2.40513333333	3.65830232558	-1.62857142857	2.87933333333			3.39233333333	-6.69884210526	0.0
LIN28B	hsa-let-7c-5p	7mer-m8	2471	2477	1.5	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7c-5p	8mer-1a	2653	2660	3.0	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7c-5p	8mer-1a	44	51	3.0	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7c-5p	7mer-m8	4092	4098	1.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7c-5p	7mer-1a	4277	4283	1.5	0.75204	2.40513333333	3.65830232558	-1.62857142857	2.87933333333			3.39233333333	-6.69884210526	0.0
LIN28B	hsa-let-7d-5p	7mer-m8	2471	2477	2.0	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7d-5p	8mer-1a	2653	2660	4.0	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7d-5p	8mer-1a	44	51	4.5	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7d-5p	7mer-m8	4092	4098	2.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7d-5p	7mer-1a	4277	4283	1.0	0.75204	2.40513333333	3.65830232558	-1.62857142857	2.87933333333			3.39233333333	-6.69884210526	0.0
LIN28B	hsa-let-7e-5p	7mer-m8	2471	2477	1.5	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7e-5p	8mer-1a	2653	2660	3.0	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7e-5p	8mer-1a	44	51	3.0	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7e-5p	7mer-m8	4092	4098	1.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7e-5p	7mer-1a	4277	4283	1.5	0.75204	2.40513333333	3.65830232558	-1.62857142857	2.87933333333			3.39233333333	-6.69884210526	0.0
LIN28B	hsa-let-7f-5p	7mer-m8	2471	2477	1.5	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7f-5p	8mer-1a	2653	2660	3.0	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7f-5p	8mer-1a	44	51	3.0	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7f-5p	7mer-m8	4092	4098	1.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7f-5p	7mer-1a	4277	4283	1.5	0.75204	2.40513333333	3.65830232558	-1.62857142857	2.87933333333			3.39233333333	-6.69884210526	0.0
LIN28B	hsa-let-7g-5p	7mer-m8	2471	2477	2.0	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7g-5p	8mer-1a	2653	2660	3.5	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7g-5p	8mer-1a	44	51	3.5	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7g-5p	7mer-m8	4092	4098	1.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7g-5p	7mer-1a	4277	4283	2.5	0.75204	2.40513333333	3.65830232558	-1.62857142857	2.87933333333			3.39233333333	-6.69884210526	0.0
LIN28B	hsa-let-7i-5p	7mer-m8	2471	2477	1.0	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7i-5p	8mer-1a	2653	2660	3.5	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7i-5p	8mer-1a	44	51	3.5	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-let-7i-5p	7mer-m8	4092	4098	1.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-let-7i-5p	7mer-1a	4277	4283	1.0	0.75204	2.40513333333	3.65830232558	-1.62857142857	2.87933333333			3.39233333333	-6.69884210526	0.0
LIN28B	hsa-miR-101-3p.1	8mer-1a	4004	4011	5.0	0.702440944882	2.72447457627	3.65708064516	-2.42817391304	2.88685365854			3.5431981982	-7.71057142857	0.0
LIN28B	hsa-miR-101-3p.1	7mer-m8	4009	4015	2.0	0.630785310734	2.72341071429	3.65415584416	-1.79795522388	2.88772			3.54484172662	-7.70422222222	0.0
LIN28B	hsa-miR-101-3p.1	6mer	3033	3038	2.04166666667	0.50965	3.1965	3.647	-1.13914285714	2.87389655172			3.54003448276	-4.97685714286	0.0
LIN28B	hsa-miR-10a-5p	6mer	168	173	3.5	0.593125	2.201	3.647	-4.60885714286	2.87389655172			3.43327586207	-8.42028571429	0.0
LIN28B	hsa-miR-10b-5p	6mer	168	173	3.5	0.593125	2.201	3.647	-4.60885714286	2.87389655172			3.43327586207	-8.42028571429	0.0
LIN28B	hsa-miR-18a-5p	7mer-1a	2081	2087	2.0	0.69084	3.30433333333	3.65830232558	-2.43264935065	2.87933333333			3.33525641026	-6.05715789474	0.0
LIN28B	hsa-miR-18b-5p	7mer-1a	2081	2087	2.0	0.69084	3.30433333333	3.65830232558	-2.43264935065	2.87933333333			3.33525641026	-6.05715789474	0.0
LIN28B	hsa-miR-4458	7mer-m8	2471	2477	0.5	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-miR-4458	8mer-1a	2653	2660	1.5	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-miR-4458	8mer-1a	44	51	2.0	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-miR-4458	7mer-m8	4092	4098	1.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-miR-4458	7mer-1a	4277	4283	2.0	0.75204	2.40513333333	3.65830232558	-1.62857142857	2.87933333333			3.39233333333	-6.69884210526	0.0
LIN28B	hsa-miR-4500	7mer-m8	2471	2477	2.0	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-miR-4500	8mer-1a	2653	2660	2.5	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-miR-4500	8mer-1a	44	51	2.5	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-miR-4500	7mer-m8	4092	4098	1.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-miR-4500	7mer-1a	4277	4283	2.0	0.75204	2.40513333333	3.65830232558	-1.62857142857	2.87933333333			3.39233333333	-6.69884210526	0.0
LIN28B	hsa-miR-4735-3p	7mer-1a	2081	2087	2.0	0.69084	3.30433333333	3.65830232558	-2.43264935065	2.87933333333			3.33525641026	-6.05715789474	0.0
LIN28B	hsa-miR-603	6mer	255	260	1.52083333333	0.5335	2.42725	3.647	-2.71628571429	2.87389655172			3.63344827586	-6.474	0.0
LIN28B	hsa-miR-603	7mer-1a	257	263	2.0	0.56232	2.40513333333	3.65830232558	-2.76374025974	2.87933333333			3.63966666667	-6.378	0.0
LIN28B	hsa-miR-605-5p	6mer	1880	1885	1.52083333333	0.640825	3.287	3.647	-2.874	2.87389655172			3.51334482759	-4.07857142857	0.0
LIN28B	hsa-miR-605-5p	6mer	269	274	2.04166666667	0.74815	2.42725	3.647	-2.71628571429	2.87389655172			3.51334482759	-4.07857142857	0.0
LIN28B	hsa-miR-605-5p	7mer-m8	95	101	2.0	0.673581920904	1.97823214286	3.65415584416	-1.36206716418	2.88772			3.50944604317	-7.28644444444	0.0
LIN28B	hsa-miR-607	7mer-1a	2055	2061	5.0	0.66636	3.30433333333	3.65830232558	-1.91236363636	2.87933333333			3.97578632479	-2.26052631579	0.0
LIN28B	hsa-miR-607	8mer-1a	2209	2216	2.0	0.598850393701	3.34323728814	3.65708064516	-2.17113043478	2.88685365854			3.97678378378	-3.35614285714	0.0
LIN28B	hsa-miR-607	6mer	2501	2506	4.54166666667	0.807775	3.287	3.647	-1.45457142857	2.87389655172			3.9804137931	-2.282	0.0
LIN28B	hsa-miR-607	6mer	630	635	1.0	0.4858	2.78925	3.647	-2.55857142857	2.87389655172			3.9804137931	-2.282	0.0
LIN28B	hsa-miR-609	6mer	344	349	2.97916666667	0.65275	2.51775	3.647	-0.508285714286	2.87389655172			3.39324137931	-8.57	0.0
LIN28B	hsa-miR-98-5p	7mer-m8	2471	2477	1.5	0.764881355932	3.32528571429	3.65415584416	-1.5967761194	2.88772			3.39146043165	-9.25	0.00758333333333
LIN28B	hsa-miR-98-5p	8mer-1a	2653	2660	3.0	0.578929133858	3.27128813559	3.65708064516	-1.68917391304	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-miR-98-5p	8mer-1a	44	51	3.0	0.622755905512	1.63084745763	3.65708064516	-2.78160869565	2.88685365854			3.39415315315	-9.26	0.0
LIN28B	hsa-miR-98-5p	7mer-m8	4092	4098	1.0	0.693553672316	2.63742857143	3.65415584416	-2.5356119403	2.88772			3.39146043165	-9.25	0.00758333333333
